Year,Model,Color,Base MSRP,Total MSRP,Selling Price,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State,Options
2023,SE AWD,Silver Sky Metallic,43090,47341,,0.0,43090.0,At dealer,False,,JTMAB3FV0PD150101,Valenti Toyota,RI,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Midnight Black Metallic,43090,47322,,0.0,43090.0,At dealer,False,,JTMAB3FV0PD150132,Temecula Valley Toyota,CA,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Quick Charge Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Ice Cap,43090,46484,,0.0,43090.0,At dealer,False,DealerHold,JTMAB3FV0PD150177,Wilsonville Toyota,OR,50 State Emissions | All-Weather Liner Package[installed_msrp] | Quick Charge Cable Package[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Ice Cap,43090,47896,47896.0,0.0,43090.0,Factory to port,False,,JTMAB3FV0PD150275,Paul Miller Toyota of West Caldwell,NJ,"50 State Emissions | All-Weather Liner Package[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Mudguards[installed_msrp] | Paint Protection Film (Hood, Fenders, Mirror Backs & Door Cups)[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package"
2023,SE AWD,Ice Cap,43090,47197,47197.0,0.0,43090.0,Factory to port,False,,JTMAB3FV0PD150292,Waite Toyota,NY,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | First Aid Kit w/ PPE[installed_msrp] | Mudguards[installed_msrp] | Quick Charge Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Ice Cap,43090,46788,46788.0,0.0,43090.0,Factory to port,False,,JTMAB3FV0PD150308,Romano Toyota,NY,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Mudguards[installed_msrp] | Owner's Portfolio | Quick Charge Cable Package[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Ice Cap,43090,47697,47697.0,0.0,43090.0,Factory to port,False,,JTMAB3FV0PD150311,"Glen Motors, Inc.",NJ,"50 State Emissions | All-Weather Liner Package[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Owner's Portfolio | Paint Protection Film (Hood, Fenders, Mirror Backs & Door Cups)[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package"
2023,SE AWD,Ice Cap,43090,47248,,0.0,43090.0,Factory to port,False,,JTMAB3FV0PD150356,Acton Toyota of Littleton,MA,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Supersonic Red,43090,46839,46839.0,0.0,43090.0,Factory to port,False,,JTMAB3FV0PD150440,Hillside Toyota,NY,50 State Emissions | All-Weather Liner Package[installed_msrp] | Special Color | Weather & Moonroof Package
2023,SE AWD,Magnetic Gray Metallic,43090,47277,,0.0,43090.0,Port to dealer,False,,JTMAB3FV0PD150504,Claremont Toyota,CA,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Edge Guards[installed_msrp] | First Aid Kit w/ PPE[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Ice Cap,43090,47132,47132.0,0.0,43090.0,Factory to port,False,,JTMAB3FV0PD150521,Prestige Toyota of Ramsey,NJ,"50 State Emissions | All-Weather Liner Package[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Paint Protection Film (Hood, Fenders, Mirror Backs & Door Cups)[installed_msrp] | Weather & Moonroof Package"
2023,SE AWD,Silver Sky Metallic,43090,47322,,0.0,43090.0,At dealer,False,,JTMAB3FV0PD150695,Temecula Valley Toyota,CA,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Quick Charge Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Silver Sky Metallic,43090,47341,,0.0,43090.0,At dealer,False,,JTMAB3FV0PD150843,Grieco Toyota,RI,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Ice Cap,43090,46414,,7282.0,50372.0,At dealer,False,DealerHold,JTMAB3FV0PD151037,Toyota of Kirkland,WA,50 State Emissions | All-Weather Liner Package[installed_msrp] | Chiprotect 10yrs Coverage | Door Edge & Cup Guards | PermaPlate Appearance Protection 5yrs Coverage | PermaPlate Windshield Protection 5yrs Coverage | Pulse  | RoundTint | Weather & Moonroof Package
2023,SE AWD,Ice Cap,43090,46693,,0.0,43090.0,Port to dealer,False,,JTMAB3FV0PD151149,Atlantic Toyota,MA,50 State Emissions | All-Weather Liner Package[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Silver Sky Metallic,43090,47039,,1290.0,44380.0,Port to dealer,False,,JTMAB3FV0PD151183,Toyota of Redlands,CA,3m Basic Package | 50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | PURSUIT ALARM | Quick Charge Cable Package[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Ice Cap,43090,47132,47132.0,0.0,43090.0,Port to dealer,False,,JTMAB3FV0PD151264,Prestige Toyota of Ramsey,NJ,"50 State Emissions | All-Weather Liner Package[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Paint Protection Film (Hood, Fenders, Mirror Backs & Door Cups)[installed_msrp] | Weather & Moonroof Package"
2023,SE AWD,Ice Cap,43090,47197,,0.0,43090.0,Port to dealer,False,,JTMAB3FV0PD151281,Parkway Toyota,NJ,"50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Paint Protection Film (Hood, Fenders, Mirror Backs & Door Cups)[installed_msrp] | Weather & Moonroof Package"
2023,SE AWD,Ice Cap,43090,46414,,0.0,43090.0,At dealer,False,Available,JTMAB3FV0PD151295,Toyota of Hackensack,NJ,50 State Emissions | All-Weather Liner Package[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Silver Sky Metallic,43090,46944,,0.0,43090.0,At dealer,False,DealerHold,JTMAB3FV0PD151300,Imperial Toyota,MA,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Door Edge Guards[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Ice Cap,43090,47278,,0.0,43090.0,Port to dealer,False,,JTMAB3FV0PD151331,Fitzgerald Toyota Gaithersburg,MD,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Edge Guards[installed_msrp] | First Aid Kit w/ PPE[installed_msrp] | Mudguards[installed_msrp] | Owner's Portfolio | Quick Charge Cable Package[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Supersonic Red,43090,46839,,0.0,43090.0,Port to dealer,False,DealerHold,JTMAB3FV0PD151409,Seeger Toyota,MO,50 State Emissions | All-Weather Liner Package[installed_msrp] | Special Color | Weather & Moonroof Package
2023,SE AWD,Midnight Black Metallic,43090,46484,,0.0,43090.0,At dealer,False,,JTMAB3FV0PD151510,Hanlees Fairfield Toyota,CA,50 State Emissions | All-Weather Liner Package[installed_msrp] | Quick Charge Cable Package[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Midnight Black Metallic,43090,46414,,0.0,43090.0,Port to dealer,False,DealerHold,JTMAB3FV0PD151541,Lou Fusz Toyota,MO,50 State Emissions | All-Weather Liner Package[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Supersonic Red,43090,47681,47681.0,0.0,43090.0,Port to dealer,False,,JTMAB3FV0PD151717,Waite Toyota,NY,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Sill Protectors[installed_msrp] | First Aid Kit w/ PPE[installed_msrp] | Frameless Homelink® Mirror[installed_msrp] | Mudguards[installed_msrp] | Quick Charge Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Special Color | Weather & Moonroof Package
2023,SE AWD,Magnetic Gray Metallic,43090,47327,,0.0,43090.0,At dealer,False,,JTMAB3FV0PD151748,Sheehy Toyota of Laurel,MD,50 State Emissions | All-Weather Liner Package[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Owner's Portfolio | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Ice Cap,43090,47742,47742.0,0.0,43090.0,Port to dealer,False,,JTMAB3FV0PD151832,Penn Toyota,NY,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Frameless Homelink® Mirror[installed_msrp] | Mudguards[installed_msrp] | Owner's Portfolio | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Ice Cap,43090,47778,,0.0,43090.0,Port to dealer,False,,JTMAB3FV0PD151913,Lexington Toyota,MA,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Fog Light Accent[installed_msrp] | Frameless Homelink® Mirror[installed_msrp] | Mudguards[installed_msrp] | Quick Charge Cable Package[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Ice Cap,43090,46175,,0.0,43090.0,At dealer,False,,JTMAB3FV0PD151927,Langway Toyota of Newport,RI,50 State Emissions | Quick Charge Cable Package[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Silver Sky Metallic,43090,46105,,0.0,43090.0,At dealer,False,,JTMAB3FV0PD152012,Ira Toyota,MA,50 State Emissions | Weather & Moonroof Package
2023,SE AWD,Ice Cap,43090,47463,47463.0,0.0,43090.0,At dealer,False,Available,JTMAB3FV0PD152091,Penn Toyota,NY,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Frameless Homelink® Mirror[installed_msrp] | Owner's Portfolio | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Supersonic Red,43090,46839,,0.0,43090.0,At dealer,True,DealerHold,JTMAB3FV0PD152267,Mountain States Toyota,CO,50 State Emissions | Carpet Mat Package[installed_msrp] | Special Color | Weather & Moonroof Package
2023,SE AWD,Ice Cap,43090,46839,46839.0,0.0,43090.0,At dealer,False,,JTMAB3FV0PD152303,Interstate Toyota,NY,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Magnetic Gray Metallic,43090,46105,,450.0,43540.0,At dealer,False,,JTMAB3FV0PD152429,Valley Hi Toyota,CA,50 State Emissions | WINDOW TINT | Weather & Moonroof Package
2023,SE AWD,Blueprint,43090,46863,46363.0,0.0,43090.0,Port to dealer,False,DealerHold,JTMAB3FV0PD152477,Jones Toyota,MD,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Owner's Portfolio | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Ice Cap,43090,46654,,0.0,43090.0,At dealer,False,,JTMAB3FV0PD152608,Toyota of Wellesley,MA,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Silver Sky Metallic,43090,46105,,0.0,43090.0,Port to dealer,False,,JTMAB3FV0PD152706,Emerson Toyota,ME,50 State Emissions | Weather & Moonroof Package
2023,SE AWD,Ice Cap,43090,46414,,0.0,43090.0,Port to dealer,False,DealerHold,JTMAB3FV0PD152835,Lithia Toyota of Springfield,OR,50 State Emissions | All-Weather Liner Package[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Ice Cap,43090,46509,50504.0,3995.0,47085.0,Factory to port,False,,JTMAB3FV0PD152950,Toyota of Greenwich,CT,50 State Emissions | All-Weather Liner Package[installed_msrp] | First Aid Kit w/ PPE[installed_msrp] | Owner's Portfolio | Quick Charge Cable Package[installed_msrp] | Toyota of Greenwich VIP | Weather & Moonroof Package
2023,SE AWD,Ice Cap,43090,46414,,0.0,43090.0,Port to dealer,False,,JTMAB3FV0PD152981,Grants Pass Toyota,OR,50 State Emissions | All-Weather Liner Package[installed_msrp] | Owner's Portfolio | Weather & Moonroof Package
2023,SE AWD,Magnetic Gray Metallic,43090,46414,,0.0,43090.0,At dealer,False,,JTMAB3FV0PD153046,Toyota of Escondido,CA,50 State Emissions | Carpet Mat Package[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Ice Cap,43090,47463,47463.0,0.0,43090.0,Factory to port,False,,JTMAB3FV0PD153158,Westbury Toyota,NY,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Frameless Homelink® Mirror[installed_msrp] | Owner's Portfolio | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Ice Cap,43090,46589,,0.0,43090.0,Factory to port,False,,JTMAB3FV0PD153175,New Country Toyota of Clifton Park,NY,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Owner's Portfolio | Weather & Moonroof Package
2023,SE AWD,Supersonic Red,43090,47888,,0.0,43090.0,Factory to port,False,,JTMAB3FV0PD153192,Atlantic Toyota,NY,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Frameless Homelink® Mirror[installed_msrp] | Owner's Portfolio | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Special Color | Weather & Moonroof Package
2023,SE AWD,Ice Cap,43090,47463,,0.0,43090.0,Factory to port,False,,JTMAB3FV0PD153225,Millennium Toyota,NY,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Frameless Homelink® Mirror[installed_msrp] | Owner's Portfolio | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package
2023,SE AWD,Magnetic Gray Metallic,43090,46863,46863.0,0.0,43090.0,Factory to port,False,DealerHold,JTMAB3FV0PD153306,Jones Toyota,MD,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Owner's Portfolio | Rear Bumper Applique[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Weather & Moonroof Package
